ID,DUTName,Impedance,Temperature,Cycle,Status,TimeStamp,TimeTicks
1-1-Temp,G,0,104.4,0,,2023/9/13 下午 05:49:26,6.38302241664595E+17
1-2-Temp,S,0,400.4,0,,2023/9/13 下午 05:49:26,6.38302241664595E+17
1-3-Temp,F,0,205.6,0,,2023/9/13 下午 05:49:26,6.38302241664595E+17
1-1-Temp,G,0,104.4,0,,2023/9/13 下午 05:49:26,6.38302241664595E+17
1-2-Temp,S,0,400.4,0,,2023/9/13 下午 05:49:26,6.38302241664595E+17
1-3-Temp,F,0,205.6,0,,2023/9/13 下午 05:49:26,6.38302241664595E+17
1-1-Temp,G,0,104.4,0,,2023/9/13 下午 05:49:26,6.38302241664595E+17
1-2-Temp,S,0,400.4,0,,2023/9/13 下午 05:49:26,6.38302241664595E+17
1-3-Temp,F,0,205.6,0,,2023/9/13 下午 05:49:26,6.38302241664595E+17
1-1-Temp,G,0,104.4,0,,2023/9/13 下午 05:49:26,6.38302241664595E+17
1-2-Temp,S,0,400.4,0,,2023/9/13 下午 05:49:26,6.38302241664595E+17
1-3-Temp,F,0,205.6,0,,2023/9/13 下午 05:49:26,6.38302241664595E+17
1-1-Temp,G,0,104.4,0,,2023/9/13 下午 05:49:26,6.38302241664595E+17
1-2-Temp,S,0,400.4,0,,2023/9/13 下午 05:49:26,6.38302241664595E+17
1-3-Temp,F,0,205.6,0,,2023/9/13 下午 05:49:26,6.38302241664595E+17
1-1-Temp,G,0,104.4,0,,2023/9/13 下午 05:49:26,6.38302241664595E+17
1-2-Temp,S,0,400.4,0,,2023/9/13 下午 05:49:26,6.38302241664595E+17
1-3-Temp,F,0,205.6,0,,2023/9/13 下午 05:49:26,6.38302241664595E+17
1-1-Temp,G,0,104.4,0,,2023/9/13 下午 05:49:26,6.38302241664595E+17
1-2-Temp,S,0,400.4,0,,2023/9/13 下午 05:49:26,6.38302241664595E+17
1-3-Temp,F,0,205.6,0,,2023/9/13 下午 05:49:26,6.38302241664595E+17
1-1-Temp,G,0,104.4,0,,2023/9/13 下午 05:49:26,6.38302241664595E+17
1-2-Temp,S,0,400.4,0,,2023/9/13 下午 05:49:26,6.38302241664595E+17
1-3-Temp,F,0,205.6,0,,2023/9/13 下午 05:49:26,6.38302241664595E+17
1-1-Temp,G,0,104.4,0,,2023/9/13 下午 05:49:26,6.38302241664595E+17
1-2-Temp,S,0,400.4,0,,2023/9/13 下午 05:49:26,6.38302241664595E+17
1-3-Temp,F,0,205.6,0,,2023/9/13 下午 05:49:26,6.38302241664595E+17
1-1-Temp,G,0,104.4,0,,2023/9/13 下午 05:49:26,6.38302241664595E+17
1-2-Temp,S,0,400.4,0,,2023/9/13 下午 05:49:26,6.38302241664595E+17
1-3-Temp,F,0,205.6,0,,2023/9/13 下午 05:49:26,6.38302241664595E+17
1-1-Temp,G,0,104.4,0,,2023/9/13 下午 05:49:26,6.38302241664595E+17
1-2-Temp,S,0,400.4,0,,2023/9/13 下午 05:49:26,6.38302241664595E+17
1-3-Temp,F,0,205.6,0,,2023/9/13 下午 05:49:26,6.38302241664595E+17
1-1-Temp,G,0,104.4,0,,2023/9/13 下午 05:49:26,6.38302241664595E+17
1-2-Temp,S,0,400.4,0,,2023/9/13 下午 05:49:26,6.38302241664595E+17
1-3-Temp,F,0,205.6,0,,2023/9/13 下午 05:49:26,6.38302241664595E+17
1-1-Temp,G,0,105.8,0,,2023/9/13 下午 05:49:28,6.38302241689978E+17
1-2-Temp,S,0,400.4,0,,2023/9/13 下午 05:49:28,6.38302241689978E+17
1-3-Temp,F,0,205.6,0,,2023/9/13 下午 05:49:28,6.38302241689978E+17
