ID,DUTName,Impedance,Temperature,Cycle,Status,TimeStamp,TimeTicks
1-1-Temp,G,0,24.8,0,,2023/9/13 下午 11:06:02,6.38302431620105E+17
1-2-Temp,S,0,322.4,0,,2023/9/13 下午 11:06:02,6.38302431620105E+17
1-3-Temp,F,0,127.6,0,,2023/9/13 下午 11:06:02,6.38302431620105E+17
1-1-Temp,G,0,24.8,0,,2023/9/13 下午 11:06:02,6.38302431620105E+17
1-2-Temp,S,0,322.4,0,,2023/9/13 下午 11:06:02,6.38302431620105E+17
1-3-Temp,F,0,127.6,0,,2023/9/13 下午 11:06:02,6.38302431620105E+17
1-1-Temp,G,0,24.8,0,,2023/9/13 下午 11:06:02,6.38302431620105E+17
1-2-Temp,S,0,322.4,0,,2023/9/13 下午 11:06:02,6.38302431620105E+17
1-3-Temp,F,0,127.6,0,,2023/9/13 下午 11:06:02,6.38302431620105E+17
1-1-Temp,G,0,24.8,0,,2023/9/13 下午 11:06:02,6.38302431620105E+17
1-2-Temp,S,0,322.4,0,,2023/9/13 下午 11:06:02,6.38302431620105E+17
1-3-Temp,F,0,127.6,0,,2023/9/13 下午 11:06:02,6.38302431620105E+17
1-1-Temp,G,0,24.8,0,,2023/9/13 下午 11:06:02,6.38302431620105E+17
1-2-Temp,S,0,322.4,0,,2023/9/13 下午 11:06:02,6.38302431620105E+17
1-3-Temp,F,0,127.6,0,,2023/9/13 下午 11:06:02,6.38302431620105E+17
1-1-Temp,G,0,24.8,0,,2023/9/13 下午 11:06:02,6.38302431620105E+17
1-2-Temp,S,0,322.4,0,,2023/9/13 下午 11:06:02,6.38302431620105E+17
1-3-Temp,F,0,127.6,0,,2023/9/13 下午 11:06:02,6.38302431620105E+17
1-1-Temp,G,0,24.8,0,,2023/9/13 下午 11:06:02,6.38302431620105E+17
1-2-Temp,S,0,322.4,0,,2023/9/13 下午 11:06:02,6.38302431620105E+17
1-3-Temp,F,0,127.6,0,,2023/9/13 下午 11:06:02,6.38302431620105E+17
1-1-Temp,G,0,24.8,0,,2023/9/13 下午 11:06:02,6.38302431620105E+17
1-2-Temp,S,0,322.4,0,,2023/9/13 下午 11:06:02,6.38302431620105E+17
1-3-Temp,F,0,127.6,0,,2023/9/13 下午 11:06:02,6.38302431620105E+17
1-1-Temp,G,0,24.8,0,,2023/9/13 下午 11:06:02,6.38302431620105E+17
1-2-Temp,S,0,322.4,0,,2023/9/13 下午 11:06:02,6.38302431620105E+17
1-3-Temp,F,0,127.6,0,,2023/9/13 下午 11:06:02,6.38302431620105E+17
1-1-Temp,G,0,24.8,0,,2023/9/13 下午 11:06:02,6.38302431620105E+17
1-2-Temp,S,0,322.4,0,,2023/9/13 下午 11:06:02,6.38302431620105E+17
1-3-Temp,F,0,127.6,0,,2023/9/13 下午 11:06:02,6.38302431620105E+17
1-1-Temp,G,0,24.8,0,,2023/9/13 下午 11:06:02,6.38302431620105E+17
1-2-Temp,S,0,322.4,0,,2023/9/13 下午 11:06:02,6.38302431620105E+17
1-3-Temp,F,0,127.6,0,,2023/9/13 下午 11:06:02,6.38302431620105E+17
1-1-Temp,G,0,24.8,0,,2023/9/13 下午 11:06:02,6.38302431620105E+17
1-2-Temp,S,0,322.4,0,,2023/9/13 下午 11:06:02,6.38302431620105E+17
1-3-Temp,F,0,127.6,0,,2023/9/13 下午 11:06:02,6.38302431620105E+17
1-1-Temp,G,0,24.8,0,,2023/9/13 下午 11:06:02,6.38302431620105E+17
1-2-Temp,S,0,322.4,0,,2023/9/13 下午 11:06:02,6.38302431620105E+17
1-3-Temp,F,0,127.6,0,,2023/9/13 下午 11:06:02,6.38302431620105E+17
1-1-Temp,G,0,24.8,0,,2023/9/13 下午 11:06:02,6.38302431620105E+17
1-2-Temp,S,0,322.4,0,,2023/9/13 下午 11:06:02,6.38302431620105E+17
1-3-Temp,F,0,127.6,0,,2023/9/13 下午 11:06:02,6.38302431620105E+17
1-1-Temp,G,0,24.8,0,,2023/9/13 下午 11:06:02,6.38302431620105E+17
1-2-Temp,S,0,322.4,0,,2023/9/13 下午 11:06:02,6.38302431620105E+17
1-3-Temp,F,0,127.6,0,,2023/9/13 下午 11:06:02,6.38302431620105E+17
